Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35-44,Yes,Travel_Rarely," >1,000",Sales,< 10 km,2,Life Sciences,1,1,2,Female,> 70,3,2,Sales Executive,4,Single,"5,000 - 10,000",19479,> 5 years,Y,Yes,11,3,1,80,0,8,0,1, 6 - 12 years,4,0,5
45-54,No,Travel_Frequently,below 500,Research & Development,< 10 km,1,Life Sciences,1,2,3,Male,40 - 70,2,2,Research Scientist,2,Married,"5,000 - 10,000",24907,> 2 ,Y,No,23,4,4,80,1,10,3,3, 6 - 12 years,7,1,7
35-44,Yes,Travel_Rarely," >1,000",Research & Development,< 10 km,2,Other,1,4,4,Male,> 70,2,1,Laboratory Technician,3,Single,"< 5,000",2396,> 5 years,Y,Yes,15,3,2,80,0,7,3,3,< 2 years,0,0,0
25-34,No,Travel_Frequently," >1,000",Research & Development,< 10 km,4,Life Sciences,1,5,4,Female,40 - 70,3,1,Research Scientist,3,Married,"< 5,000",23159,> 2 ,Y,Yes,11,3,3,80,0,8,3,3, 6 - 12 years,7,3,0
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,1,Medical,1,7,1,Male,<40,3,1,Laboratory Technician,2,Married,"< 5,000",16632,> 5 years,Y,No,12,3,4,80,1,6,3,3,< 2 years,2,2,2
25-34,No,Travel_Frequently," >1,000",Research & Development,< 10 km,2,Life Sciences,1,8,4,Male,> 70,3,1,Laboratory Technician,4,Single,"< 5,000",11864,> 2 ,Y,No,13,3,3,80,0,8,2,2, 6 - 12 years,7,3,6
>55,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Medical,1,10,3,Female,> 70,4,1,Laboratory Technician,1,Married,"< 5,000",9964,3 - 5 years,Y,Yes,20,4,1,80,3,12,3,2,< 2 years,0,0,0
25-34,No,Travel_Rarely," >1,000",Research & Development,> 20km,1,Life Sciences,1,11,4,Male,40 - 70,3,1,Laboratory Technician,3,Divorced,"< 5,000",13335,> 2 ,Y,No,22,4,2,80,1,1,2,3,< 2 years,0,0,0
35-44,No,Travel_Frequently,below 500,Research & Development,> 20km,3,Life Sciences,1,12,4,Male,40 - 70,2,3,Manufacturing Director,3,Single,"5,000 - 10,000",8787,> 2 ,Y,No,21,4,2,80,0,10,2,3, 6 - 12 years,7,1,8
35-44,No,Travel_Rarely," >1,000",Research & Development,> 20km,3,Medical,1,13,3,Male,> 70,3,2,Healthcare Representative,3,Married,"5,000 - 10,000",16577,> 5 years,Y,No,13,3,2,80,2,17,3,2, 6 - 12 years,7,7,7
35-44,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,3,Medical,1,14,1,Male,> 70,4,1,Laboratory Technician,2,Married,"< 5,000",16479,> 2 ,Y,No,13,3,3,80,1,6,5,3,3 - 5 years,4,0,3
25-34,No,Travel_Rarely,below 500,Research & Development,10 - 20 km,2,Life Sciences,1,15,4,Female,40 - 70,2,2,Laboratory Technician,3,Single,"< 5,000",12682,> 2 ,Y,Yes,12,3,4,80,0,10,3,3, 6 - 12 years,5,0,8
25-34,No,Travel_Rarely,500 - 1000,Research & Development,> 20km,1,Life Sciences,1,16,1,Male,<40,3,1,Research Scientist,3,Divorced,"< 5,000",15170,> 2 ,Y,No,17,3,4,80,1,5,1,2,3 - 5 years,2,4,3
25-34,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,2,Medical,1,18,2,Male,> 70,3,1,Laboratory Technician,4,Divorced,"< 5,000",8758,> 2 ,Y,No,11,3,3,80,1,3,2,3,< 2 years,2,1,2
